AttendanceID,UserID,AttendanceTime,AttendanceImage,Comment,Latitude,Longitude,Image,Tag,created_at,updated_at,Area
200362,asmnmk,"2023-03-27 08:46:33.000",upload/medium/b21f3064-ca48-4bd2-a30a-ce4f3917935e2108653119133763599_medium-600x799.jpg,"Going to DB Bonolota Seed International, New Market. ",23.7895166,90.3264275,,0,,,"à¦•à¦¾à¦®à¦°à§à¦² à¦¹à¦¾à¦‰à¦œ, Manik Nagar, Amin Bazar, Dhaka-1348, 1348 Manik Nagar Rd, Aminbazar 1348, Bangladesh"
200366,zsmnor,"2023-03-27 08:49:28.000",upload/medium/01160cb0-9422-41b4-bcf9-a0ba9a0061156807132752162902318_medium-602x800.jpg,"Going to Manikgonj ",23.7886726,90.355645,,0,,,"Q9Q4+G77, Dhaka, Bangladesh"
